experiment,param,param_name,actual_corr,model,PEHE,ATE_Bias
feature_correlation,0.0,correlation,0.020576205540006495,T-Learner (Linear),0.20701252243006468,0.06853607467381262
feature_correlation,0.0,correlation,0.020576205540006495,S-Learner (Linear),0.5709003775610892,0.07101405453927598
feature_correlation,0.0,correlation,0.020576205540006495,Naive ATE,0.5830861836631075,0.1382217508987645
feature_correlation,0.0,correlation,0.025464036665510947,T-Learner (Linear),0.1649322578393691,0.08697053470883745
feature_correlation,0.0,correlation,0.025464036665510947,S-Learner (Linear),0.5949834143398866,0.08280447286591451
feature_correlation,0.0,correlation,0.025464036665510947,Naive ATE,0.5891934713241077,0.0005138462854725814
feature_correlation,0.0,correlation,0.02302316405415444,T-Learner (Linear),0.22249266351559221,0.009750108084653687
feature_correlation,0.0,correlation,0.02302316405415444,S-Learner (Linear),0.5569346712582482,0.012909961117204018
feature_correlation,0.0,correlation,0.02302316405415444,Naive ATE,0.5570775578594285,0.01805116387215925
feature_correlation,0.0,correlation,0.027467292736691604,T-Learner (Linear),0.2588937914240948,0.16971172718392707
feature_correlation,0.0,correlation,0.027467292736691604,S-Learner (Linear),0.5623827825215302,0.17239479387109072
feature_correlation,0.0,correlation,0.027467292736691604,Naive ATE,0.5608539569616194,0.16734016827021286
feature_correlation,0.0,correlation,0.02717589115697755,T-Learner (Linear),0.14484858640991055,0.05691629195423305
feature_correlation,0.0,correlation,0.02717589115697755,S-Learner (Linear),0.5713509716210305,0.05955699173178325
feature_correlation,0.0,correlation,0.02717589115697755,Naive ATE,0.5730004784423953,0.07372008401418151
feature_correlation,0.0,correlation,0.02423894661349852,T-Learner (Linear),0.26913682858363497,0.04734423868218204
feature_correlation,0.0,correlation,0.02423894661349852,S-Learner (Linear),0.580726776386234,0.04434120601724738
feature_correlation,0.0,correlation,0.02423894661349852,Naive ATE,0.5929506056301828,0.1277222551332279
feature_correlation,0.0,correlation,0.02675394442712958,T-Learner (Linear),0.1814574847629915,0.011679158426733316
feature_correlation,0.0,correlation,0.02675394442712958,S-Learner (Linear),0.5671064413682267,0.009762949085228931
feature_correlation,0.0,correlation,0.02675394442712958,Naive ATE,0.5682747002502591,0.03770589182115364
feature_correlation,0.0,correlation,0.026376306130522054,T-Learner (Linear),0.27259698205298905,0.07626476371592858
feature_correlation,0.0,correlation,0.026376306130522054,S-Learner (Linear),0.5616118981984197,0.07651787230467562
feature_correlation,0.0,correlation,0.026376306130522054,Naive ATE,0.559531677392931,0.0593528313574793
feature_correlation,0.0,correlation,0.029601058944867933,T-Learner (Linear),0.28393047578609,0.07695164041636766
feature_correlation,0.0,correlation,0.029601058944867933,S-Learner (Linear),0.5561009229860447,0.07533850544153632
feature_correlation,0.0,correlation,0.029601058944867933,Naive ATE,0.5585114298577898,0.09144764151155779
feature_correlation,0.0,correlation,0.0244184159883271,T-Learner (Linear),0.2376841141294352,0.1225871933386918
feature_correlation,0.0,correlation,0.0244184159883271,S-Learner (Linear),0.5725762197227582,0.12380577041867342
feature_correlation,0.0,correlation,0.0244184159883271,Naive ATE,0.5629153464063466,0.06601536651972878
feature_correlation,0.3,correlation,0.145402995751565,T-Learner (Linear),0.20088408611861766,0.062236239601100536
feature_correlation,0.3,correlation,0.145402995751565,S-Learner (Linear),0.5996689179430734,0.06003517028167487
feature_correlation,0.3,correlation,0.145402995751565,Naive ATE,0.5985419237547878,0.04747467762729158
feature_correlation,0.3,correlation,0.1576728975992732,T-Learner (Linear),0.1850257490499141,0.04491536060305364
feature_correlation,0.3,correlation,0.1576728975992732,S-Learner (Linear),0.6176614981517258,0.04396249940475519
feature_correlation,0.3,correlation,0.1576728975992732,Naive ATE,0.6241080531361702,0.09968870068518011
feature_correlation,0.3,correlation,0.14978766014151118,T-Learner (Linear),0.19305542798870404,0.04108316006993385
feature_correlation,0.3,correlation,0.14978766014151118,S-Learner (Linear),0.6016005613175616,0.042969574528853874
feature_correlation,0.3,correlation,0.14978766014151118,Naive ATE,0.6059366283217885,0.08415667828261025
feature_correlation,0.3,correlation,0.15505940716358285,T-Learner (Linear),0.21940296934699013,0.02573426900654295
feature_correlation,0.3,correlation,0.15505940716358285,S-Learner (Linear),0.608930474932927,0.025484002491163664
feature_correlation,0.3,correlation,0.15505940716358285,Naive ATE,0.612682902318083,0.07234258686167613
feature_correlation,0.3,correlation,0.14898296755728746,T-Learner (Linear),0.20723141057069733,0.10713306800184016
feature_correlation,0.3,correlation,0.14898296755728746,S-Learner (Linear),0.6276805065046692,0.10913636971141319
feature_correlation,0.3,correlation,0.14898296755728746,Naive ATE,0.6234433708350438,0.08129923484258653
feature_correlation,0.3,correlation,0.14670161593774636,T-Learner (Linear),0.17340681814133488,0.049919347540436046
feature_correlation,0.3,correlation,0.14670161593774636,S-Learner (Linear),0.6028961880451781,0.049454428700507785
feature_correlation,0.3,correlation,0.14670161593774636,Naive ATE,0.601118160118099,0.017463372596820605
feature_correlation,0.3,correlation,0.1492073069987023,T-Learner (Linear),0.1929725028197551,0.11448856953349254
feature_correlation,0.3,correlation,0.1492073069987023,S-Learner (Linear),0.6245930102067754,0.11425318328922993
feature_correlation,0.3,correlation,0.1492073069987023,Naive ATE,0.626062387664553,0.12203063033846212
feature_correlation,0.3,correlation,0.1512073630652038,T-Learner (Linear),0.21791370060167367,0.07887283415927374
feature_correlation,0.3,correlation,0.1512073630652038,S-Learner (Linear),0.5928402233431503,0.08027396201146318
feature_correlation,0.3,correlation,0.1512073630652038,Naive ATE,0.5939109935927768,0.08783306253240102
feature_correlation,0.3,correlation,0.15234101409979656,T-Learner (Linear),0.16748312366207838,0.1012755854246542
feature_correlation,0.3,correlation,0.15234101409979656,S-Learner (Linear),0.5890808277175388,0.10117135786421277
feature_correlation,0.3,correlation,0.15234101409979656,Naive ATE,0.5807332163171968,0.021690795324840154
feature_correlation,0.3,correlation,0.1560354587054783,T-Learner (Linear),0.19541718411909723,0.04052837812676069
feature_correlation,0.3,correlation,0.1560354587054783,S-Learner (Linear),0.5964866283515858,0.03804354432559212
feature_correlation,0.3,correlation,0.1560354587054783,Naive ATE,0.6032027723207166,0.09749152782682559
feature_correlation,0.7,correlation,0.23155570301409018,T-Learner (Linear),0.2611990727897514,0.009120005686856038
feature_correlation,0.7,correlation,0.23155570301409018,S-Learner (Linear),0.6662154404004706,0.010100704878868615
feature_correlation,0.7,correlation,0.23155570301409018,Naive ATE,0.6662920740430462,0.014287727028509055
feature_correlation,0.7,correlation,0.24312498116526704,T-Learner (Linear),0.15781129318530776,0.10609655612080529
feature_correlation,0.7,correlation,0.24312498116526704,S-Learner (Linear),0.6825626039713666,0.10395689265044616
feature_correlation,0.7,correlation,0.24312498116526704,Naive ATE,0.6935969375995759,0.16122046717732116
feature_correlation,0.7,correlation,0.2363367760057913,T-Learner (Linear),0.17564530759650113,0.08646210501867715
feature_correlation,0.7,correlation,0.2363367760057913,S-Learner (Linear),0.6784710954171089,0.08389660634186324
feature_correlation,0.7,correlation,0.2363367760057913,Naive ATE,0.6781214215856457,0.08102021755418065
feature_correlation,0.7,correlation,0.23614722981456113,T-Learner (Linear),0.1780906472284,0.038860918970856084
feature_correlation,0.7,correlation,0.23614722981456113,S-Learner (Linear),0.6844702883860104,0.04155500398826803
feature_correlation,0.7,correlation,0.23614722981456113,Naive ATE,0.6832248374484725,0.004839543338831097
feature_correlation,0.7,correlation,0.23547109054714382,T-Learner (Linear),0.2358780391944274,0.000880611988222757
feature_correlation,0.7,correlation,0.23547109054714382,S-Learner (Linear),0.6699214939738495,0.0016807329918290467
feature_correlation,0.7,correlation,0.23547109054714382,Naive ATE,0.6708038140217517,0.034435064706839276
feature_correlation,0.7,correlation,0.23457518394961122,T-Learner (Linear),0.20217595952309828,0.048532426201285304
feature_correlation,0.7,correlation,0.23457518394961122,S-Learner (Linear),0.6732673125945411,0.047660433849736915
feature_correlation,0.7,correlation,0.23457518394961122,Naive ATE,0.6716741492568499,0.011349252238915426
feature_correlation,0.7,correlation,0.23836893142449264,T-Learner (Linear),0.19713372873600588,0.08867943821779181
feature_correlation,0.7,correlation,0.23836893142449264,S-Learner (Linear),0.655496600860559,0.08867000375435255
feature_correlation,0.7,correlation,0.23836893142449264,Naive ATE,0.663904957428993,0.13768212783380027
feature_correlation,0.7,correlation,0.24085436178431516,T-Learner (Linear),0.22230531835790093,0.09533233759548962
feature_correlation,0.7,correlation,0.24085436178431516,S-Learner (Linear),0.6943315338280438,0.09431679160154692
feature_correlation,0.7,correlation,0.24085436178431516,Naive ATE,0.6982999752508965,0.12009260487394008
feature_correlation,0.7,correlation,0.23782555224042695,T-Learner (Linear),0.19295879493054094,0.030763431743847616
feature_correlation,0.7,correlation,0.23782555224042695,S-Learner (Linear),0.6776091138632904,0.037821326382290646
feature_correlation,0.7,correlation,0.23782555224042695,Naive ATE,0.6941177863647078,0.15516392263204798
