dgp,n,model,rep,PEHE,ATE_Bias,status
linear,500,Naive ATE,0,0.5535414486499419,0.02440643489665816,success
linear,500,Naive ATE,1,0.5658696755850401,0.09618785441350088,success
linear,500,Naive ATE,2,0.5782793237881942,0.15804193203762387,success
linear,500,Naive ATE,3,0.5941484480071965,0.17512333551928405,success
linear,500,Naive ATE,4,0.5931032220177884,0.18595681012440238,success
linear,500,Naive ATE,5,0.6083718531555846,0.1879791368677946,success
linear,500,Naive ATE,6,0.5430533715143636,0.11775266887410776,success
linear,500,Naive ATE,7,0.5594896373819288,0.09307655895229407,success
linear,500,Naive ATE,8,0.5778867321767198,0.0009940179064929578,success
linear,500,Naive ATE,9,0.5548405895253775,0.010031113880225316,success
linear,500,S-Learner (Linear),0,0.5701057406792754,0.004148518250920361,success
linear,500,S-Learner (Linear),1,0.549031573737681,0.07700411748420086,success
linear,500,S-Learner (Linear),2,0.5969802526411943,0.14631831743632007,success
linear,500,S-Learner (Linear),3,0.563206147409546,0.017179944545804182,success
linear,500,S-Learner (Linear),4,0.6024348996133576,0.16781572178704324,success
linear,500,S-Learner (Linear),5,0.565232280562169,0.0039502125755148726,success
linear,500,S-Learner (Linear),6,0.5521368047677657,0.08834711642311018,success
linear,500,S-Learner (Linear),7,0.5919236458660908,0.1278162476838697,success
linear,500,S-Learner (Linear),8,0.5825779431022894,0.07615691814779152,success
linear,500,S-Learner (Linear),9,0.5419682134718165,0.011077623694275007,success
linear,500,T-Learner (Linear),0,0.40885441187406385,0.16165290461087123,success
linear,500,T-Learner (Linear),1,0.28339799341770394,0.14103826762266786,success
linear,500,T-Learner (Linear),2,0.24390369555883132,0.07013199907920777,success
linear,500,T-Learner (Linear),3,0.3116318214425708,0.02803726901370666,success
linear,500,T-Learner (Linear),4,0.280093084271765,0.12766874269720604,success
linear,500,T-Learner (Linear),5,0.24538704678801357,0.10366024140015276,success
linear,500,T-Learner (Linear),6,0.23465033630227536,0.015115042287331855,success
linear,500,T-Learner (Linear),7,0.3410290956815956,0.10277319270679575,success
linear,500,T-Learner (Linear),8,0.29259852104379297,0.05200295796745784,success
linear,500,T-Learner (Linear),9,0.28858262830909415,0.03627462622396127,success
linear,500,X-Learner (Linear),0,0.5552198395008696,0.009091681604113307,success
linear,500,X-Learner (Linear),1,0.5818919623044506,0.022785119710701462,success
linear,500,X-Learner (Linear),2,0.6007372254241685,0.045286165436881264,success
linear,500,X-Learner (Linear),3,0.5809556034152381,0.025385413923300095,success
linear,500,X-Learner (Linear),4,0.5507964967610489,0.039188346158844374,success
linear,500,X-Learner (Linear),5,0.5740950414004881,0.02034383065691073,success
linear,500,X-Learner (Linear),6,0.5586122063716403,0.024963069187671844,success
linear,500,X-Learner (Linear),7,0.5232813304377559,0.01513289346170554,success
linear,500,X-Learner (Linear),8,0.5754622683670183,0.06785214703522714,success
linear,500,X-Learner (Linear),9,0.5327517342450475,0.011785564209416712,success
linear,500,T-Learner (RF),0,0.4283227422267106,0.03574980456199242,success
linear,500,T-Learner (RF),1,0.44520840700588005,0.11004856892555029,success
linear,500,T-Learner (RF),2,0.5067548403351239,0.04050615066274234,success
linear,500,T-Learner (RF),3,0.3950188500409415,0.045787412010973465,success
linear,500,T-Learner (RF),4,0.4270219291063518,0.09752943803105199,success
linear,500,T-Learner (RF),5,0.3773764689283317,0.031040128884453386,success
linear,500,T-Learner (RF),6,0.4464617229146992,0.04937742353782755,success
linear,500,T-Learner (RF),7,0.36763385112761593,0.09220117138418005,success
linear,500,T-Learner (RF),8,0.41888354203630007,0.02096352162427165,success
linear,500,T-Learner (RF),9,0.39869400073906375,0.010305978627506386,success
linear,500,X-Learner (RF),0,0.5637768059561217,0.004949099131899355,success
linear,500,X-Learner (RF),1,0.5842517721853351,0.040822242354546893,success
linear,500,X-Learner (RF),2,0.5936527316629234,0.01590730923642124,success
linear,500,X-Learner (RF),3,0.5808136986582835,0.039681820064913796,success
linear,500,X-Learner (RF),4,0.6040540730372278,0.034609828691023206,success
linear,500,X-Learner (RF),5,0.5099756040469333,0.07259980606266311,success
linear,500,X-Learner (RF),6,0.6041946720757375,0.015130531330913532,success
linear,500,X-Learner (RF),7,0.585815897099953,0.027696842318093405,success
