dgp,n,tau_scale,assignment,model,rep,PEHE,ATE_Bias,RMSE,Coverage,Runtime,status
linear,500,0.1,random,Naive ATE,0,0.11264194881684782,0.021347369413885726,0.11264194881684782,0.0,9.608268737792969e-05,success
linear,500,0.1,random,Naive ATE,1,0.18073316663413802,0.14221892302081768,0.18073316663413802,0.0,3.0040740966796875e-05,success
linear,500,0.1,random,Naive ATE,2,0.18085434411567308,0.14258718323874847,0.18085434411567308,0.0,2.3365020751953125e-05,success
linear,500,0.1,random,Naive ATE,3,0.2167696947535909,0.1846492153747926,0.2167696947535909,0.0,3.24249267578125e-05,success
linear,500,0.1,random,Naive ATE,4,0.2242000501462631,0.1938504645755004,0.2242000501462631,0.0,2.2649765014648438e-05,success
linear,500,0.1,random,Naive ATE,5,0.21214899552811844,0.17780885824675227,0.21214899552811844,0.0,2.1696090698242188e-05,success
linear,500,0.1,random,Naive ATE,6,0.16038110126003044,0.1203347277801984,0.16038110126003044,0.0,2.193450927734375e-05,success
linear,500,0.1,random,Naive ATE,7,0.13341026131460249,0.07499120937533967,0.13341026131460249,0.0,2.4557113647460938e-05,success
linear,500,0.1,random,Naive ATE,8,0.11567159420060022,0.004672709999213749,0.11567159420060022,0.0,2.3603439331054688e-05,success
linear,500,0.1,random,Naive ATE,9,0.11500414313551202,0.030266395172959013,0.11500414313551202,0.0,2.4557113647460938e-05,success
linear,500,0.1,random,Stratified ATE,0,0.2553228717505985,0.015100082831508425,0.2553228717505985,0.976,0.00043892860412597656,success
linear,500,0.1,random,Stratified ATE,1,0.16307208513402213,0.06401015687950273,0.16307208513402213,0.848,0.00030803680419921875,success
linear,500,0.1,random,Stratified ATE,2,0.14661587311432162,0.10626968558059068,0.14661587311432162,0.794,0.00030732154846191406,success
linear,500,0.1,random,Stratified ATE,3,0.14333943203320063,0.06461037892302854,0.14333943203320063,0.23,0.0003132820129394531,success
linear,500,0.1,random,Stratified ATE,4,0.2547490655105812,0.2000587178470774,0.2547490655105812,0.804,0.0003001689910888672,success
linear,500,0.1,random,Stratified ATE,5,0.16848787004122726,0.05752309596585841,0.16848787004122726,0.874,0.00028204917907714844,success
linear,500,0.1,random,Stratified ATE,6,0.1752633687332432,0.043615151296191555,0.1752633687332432,0.994,0.00028777122497558594,success
linear,500,0.1,random,Stratified ATE,7,0.24474151633478888,0.2054046475427836,0.24474151633478888,0.782,0.00027871131896972656,success
linear,500,0.1,random,Stratified ATE,8,0.24193535131361443,0.035994048429680056,0.24193535131361443,0.754,0.00027871131896972656,success
linear,500,0.1,random,Stratified ATE,9,0.3156830519492483,0.049756774902167025,0.3156830519492483,1.0,0.0002865791320800781,success
linear,500,0.1,random,Linear + Interactions,0,,,,,9.059906005859375e-06,error
linear,500,0.1,random,Linear + Interactions,1,,,,,3.814697265625e-06,error
linear,500,0.1,random,Linear + Interactions,2,,,,,2.6226043701171875e-06,error
linear,500,0.1,random,Linear + Interactions,3,,,,,2.384185791015625e-06,error
linear,500,0.1,random,Linear + Interactions,4,,,,,2.86102294921875e-06,error
linear,500,0.1,random,Linear + Interactions,5,,,,,2.86102294921875e-06,error
linear,500,0.1,random,Linear + Interactions,6,,,,,2.6226043701171875e-06,error
linear,500,0.1,random,Linear + Interactions,7,,,,,3.0994415283203125e-06,error
linear,500,0.1,random,Linear + Interactions,8,,,,,3.5762786865234375e-06,error
linear,500,0.1,random,Linear + Interactions,9,,,,,2.384185791015625e-06,error
